speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
DUKE_CURIO,137,4.0,0.0,9.0,1.0,6.0,3.0,0.0,6.0,9.0,2.0,0.0,18.0,12.0,2.0,7.0,12.0,1.0,6.0,0.0,4.0,1.0,3.0,6.0,0.0,3.0,0.0,8.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,6.0,10.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,10.0,2.0,4.0,2.0
CURIO_DUKE,8,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_CURIO,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CURIO_DUKE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_CURIO,54,4.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,6.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
VALENTINE_DUKE,81,7.0,1.0,2.0,1.0,4.0,8.0,0.0,3.0,8.0,1.0,1.0,9.0,5.0,0.0,0.0,5.0,2.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,9.0,0.0,11.0,1.0,28.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
VALENTINE_CURIO,81,7.0,1.0,2.0,1.0,4.0,8.0,0.0,3.0,8.0,1.0,1.0,9.0,5.0,0.0,0.0,5.0,2.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,9.0,0.0,11.0,1.0,28.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
DUKE_CURIO,89,4.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,4.0,3.0,0.0,7.0,10.0,0.0,4.0,10.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,9.0,0.0,7.0,1.0,33.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,6.0,0.0,1.0,2.0
DUKE_VALENTINE,89,4.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,4.0,3.0,0.0,7.0,10.0,0.0,4.0,10.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,9.0,0.0,7.0,1.0,33.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,6.0,0.0,1.0,2.0
VIOLA_CAPTAIN,8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPTAIN_VIOLA,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIOLA_CAPTAIN,27,1.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPTAIN_VIOLA,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIOLA_CAPTAIN,12,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
